Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,139.75,-75.25,90,bottom
C2,0.1uF,C_0402_1005Metric,148.65,-77.75,90,bottom
C3,0.1uF,C_0402_1005Metric,149.75,-81.8,0,bottom
C4,0.1uF,C_0402_1005Metric,138.72,-77.75,180,bottom
C5,0.1uF,C_0402_1005Metric,138.25,-81.8,180,bottom
C6,0.1uF,C_0402_1005Metric,141.905,-86.48,-90,bottom
C7,0.1uF,C_0402_1005Metric,143.25,-70.75,90,bottom
C8,0.1uF,C_0402_1005Metric,142.25,-70.48,90,bottom
C9,0.1uF,C_0402_1005Metric,138.75,-75.25,90,bottom
C10,1uF,C_0402_1005Metric,140.75,-75.25,90,bottom
C11,0.1uF,C_0402_1005Metric,140.805,-86.48,-90,bottom
C12,0.1uF,C_0402_1005Metric,144.5,-71.77,90,bottom
C13,10uF,C_0603_1608Metric,128.975,-61.25,180,bottom
C14,10uF,C_0603_1608Metric,132.25,-71.25,-90,bottom
C15,33pF,C_0402_1005Metric,147.555,-88.5,-90,bottom
C16,33pF,C_0402_1005Metric,142.255,-88.5,90,bottom
C17,0.1uF,C_0402_1005Metric,146.18,-71.3,0,bottom
C18,10uF,C_0603_1608Metric,106,-61,180,bottom
C19,10uF,C_0603_1608Metric,112.025,-72,0,bottom
C20,1uF,C_0402_1005Metric,114.75,-75.25,90,bottom
C21,33pF,C_0402_1005Metric,121.55,-88.6,-90,bottom
C22,33pF,C_0402_1005Metric,116.25,-88.6,90,bottom
C23,0.1uF,C_0402_1005Metric,118.5,-72,90,bottom
C24,0.1uF,C_0402_1005Metric,115,-86.5,-90,bottom
C25,1uF,C_0402_1005Metric,113.75,-75.25,90,bottom
C26,0.1uF,C_0402_1005Metric,122.75,-76.75,90,bottom
C27,0.1uF,C_0402_1005Metric,120.25,-71.25,0,bottom
C28,0.1uF,C_0402_1005Metric,123.5,-81.8,0,bottom
C29,0.1uF,C_0402_1005Metric,112.75,-77.75,180,bottom
C30,0.1uF,C_0402_1005Metric,112.75,-81.8,180,bottom
C31,0.1uF,C_0402_1005Metric,112.75,-75.25,90,bottom
C32,0.1uF,C_0402_1005Metric,116,-86.5,-90,bottom
C33,0.1uF,C_0402_1005Metric,117.25,-70.75,90,bottom
C34,0.1uF,C_0402_1005Metric,116.25,-70.25,90,bottom
C35,10uF,C_0402_1005Metric,135.25,-83.75,0,bottom
C36,100nF,C_0402_1005Metric,135.25,-82.75,0,bottom
C37,10uF,C_0402_1005Metric,128.75,-85.75,-90,bottom
C38,100nF,C_0402_1005Metric,127.75,-85.75,-90,bottom
C39,10uF,C_0402_1005Metric,134.25,-76.25,0,bottom
C40,100nF,C_0402_1005Metric,134.25,-75.25,0,bottom
C41,2.2uF,C_0402_1005Metric,132.375,-85.25,180,bottom
C42,2.2uF,C_0402_1005Metric,131.5,-86.25,0,bottom
C43,100nF,C_0402_1005Metric,132.375,-75.8625,90,bottom
C44,2.2uF,C_0402_1005Metric,127.25,-95.73,-90,bottom
C45,1uF,C_0402_1005Metric,128.75,-89.25,-90,bottom
C46,1uF,C_0402_1005Metric,132.73,-64.75,0,bottom
C47,1uF,C_0402_1005Metric,136.25,-69.5,0,bottom
C48,10uF,C_0402_1005Metric,138.5,-96.5,0,bottom
C49,1uF,C_0402_1005Metric,127.75,-89.25,-90,bottom
C50,1uF,C_0402_1005Metric,128.75,-95.25,0,bottom
C51,1uF,C_0402_1005Metric,131,-94.77,90,bottom
C52,2.2uF,C_0402_1005Metric,125,-89.75,0,bottom
D1,SS14,D_SMA,122,-65.25,90,bottom
D2,SS14,D_SMA,118.25,-65.25,90,bottom
D3,LED,LED_0603_1608Metric,135,-87.75,0,bottom
D4,LED,LED_0603_1608Metric,109,-76.25,0,bottom
D5,LED,LED_0603_1608Metric,155,-115.75,90,bottom
D9,LED,LED_0603_1608Metric,134.9625,-89.75,0,bottom
D10,LED,LED_0603_1608Metric,109,-78.25,0,bottom
D11,LED_WS2812B,LED_WS2812B,119.75,-95.25,90,bottom
D12,LED_WS2812B,LED_WS2812B,114,-95.25,90,bottom
D13,LED_WS2812B,LED_WS2812B,108.25,-95.25,90,bottom
J1,(A) USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,132.499996,-54.25,0,bottom
J2,(B) USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,109.499998,-54.25,0,bottom
J3,(C) USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,120.999998,-54.25,0,bottom
J12,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,108.75,-107.25,-90,bottom
J14,Micro_SD_Card,microSD_HC_Wuerth_693072010801,143.75,-105.25,-90,bottom
R1,5.1K,R_0402_1005Metric,131,-61.01,-90,bottom
R2,5.1K,R_0402_1005Metric,134.25,-61,90,bottom
R3,27,R_0402_1005Metric,143.3,-75.25,-90,bottom
R4,27,R_0402_1005Metric,142.2,-75.25,90,bottom
R5,1K,R_0402_1005Metric,143.405,-86.25,0,bottom
R6,1K,R_0402_1005Metric,150.5,-73,90,bottom
R7,10K,R_0402_1005Metric,146.18,-70.25,0,bottom
R8,5.1K,R_0402_1005Metric,108.1,-60.75,-90,bottom
R9,5.1K,R_0402_1005Metric,112.25,-60.1,180,bottom
R10,5.1K,R_0402_1005Metric,119.75,-60.51,-90,bottom
R11,5.1K,R_0402_1005Metric,120.75,-60.51,90,bottom
R12,27,R_0402_1005Metric,117.3,-75.25,-90,bottom
R13,27,R_0402_1005Metric,116.2,-75.25,90,bottom
R14,1K,R_0402_1005Metric,124.75,-71.75,180,bottom
R15,10K,R_0402_1005Metric,120.25,-70.25,0,bottom
R16,1K,R_0402_1005Metric,117.49,-86.25,0,bottom
R17,330,R_0402_1005Metric,132.2875,-87.75,180,bottom
R18,330,R_0402_1005Metric,106.25,-76.25,180,bottom
R19,470,R_0402_1005Metric,126.75,-89.25,-90,bottom
R20,470,R_0402_1005Metric,129.75,-89.25,-90,bottom
R21,DNF,R_0402_1005Metric,147.555,-86.25,-90,bottom
R22,330,R_0402_1005Metric,132.24,-89.75,180,bottom
R23,330,R_0402_1005Metric,106.25,-78.25,180,bottom
R24,330,R_0402_1005Metric,155,-118.5,-90,bottom
R25,330,R_0402_1005Metric,122.1,-90.95,180,bottom
R26,330,R_0402_1005Metric,104.5,-90.75,-90,bottom
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,153.25,-76.25,90,bottom
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,128.5,-73,180,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,143.95,-80.8,180,bottom
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,127.7,-66.65,-90,bottom
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,147.2,-73.05,180,bottom
U4,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,110,-66.65,-90,bottom
U5,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,117.95,-80.8,180,bottom
U6,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,121.2,-73.05,180,bottom
U7,PCM5101A,TSSOP-20_4.4x6.5mm_P0.65mm,130.75,-80.75,90,bottom
U8,TLV70033_SOT23-5,SOT-23-5,134.75,-67.25,0,bottom
U9,TPA6132A2RTE,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,128.25,-92.5,-90,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,144.905,-88.5,0,bottom
Y2,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,118.9,-88.5,0,bottom
