Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D14,LED_WS2812B,LED_WS2812B,108.25,-95.25,90,top
D15,LED_WS2812B,LED_WS2812B,114,-95.25,90,top
D16,LED_WS2812B,LED_WS2812B,119.75,-95.25,90,top
J8,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,127.25,-100.5,0,top
J11,LCD_128x160,LCD_128x160,100,-69,0,top
J12,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,147,-94.75,90,top
J14,Micro_SD_Card,microSD_HC_Wuerth_693072010801,148.5,-81,-90,top
J15,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,131,-100.5,0,top
J16,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,134.75,-100.5,0,top
R26,330,R_0402_1005Metric,104.5,-92.25,-90,top
SW3,Switch,SW_Cherry_MX_1.00u_PCB,112.04,-110.42,0,top
SW4,Switch,SW_Cherry_MX_1.00u_PCB,130.54,-110.42,0,top
SW5,Switch,SW_Cherry_MX_1.00u_PCB,149.04,-110.42,0,top
SW6,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,154.25,-64,180,top
