Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"J8,J16,J15",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01,
2,SW6,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
3,"SW3,SW4,SW5",SW_Cherry_MX_1.00u_PCB,3,Switch,
4,"J9,J6,J18,J19,J17,J22,J21,J20",TestPoint_Pad_D1.0mm,8,Conn_01x01,
5,"J13,J7",TestPoint_Pad_1.0x1.0mm,2,Conn_01x01,
6,"D15,D14,D16,D12,D11,D13",LED_WS2812B,6,LED_WS2812B,
7,J11,LCD_128x160,1,LCD_128x160,
8,J10,OLED_128x32,1,OLED_128x32,
9,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
10,"C29,C32,C24,C26,C30,C3,C27,C12,C4,C2,C6,C7,C33,C11,C34,C31,C17,C9,C23,C28,C8,C5",C_0402_1005Metric,22,0.1uF,
11,"R22,R24,R18,R26,R25,R23,R17",R_0402_1005Metric,7,330,
12,"D5,D10,D3,D4,D9",LED_0603_1608Metric,5,LED,
13,"C39,C48,C35,C37",C_0402_1005Metric,4,10uF,
14,"C21,C15,C22,C16",C_0402_1005Metric,4,33pF,
15,"U4,U2",SOT-223-3_TabPin2,2,NCP1117-3.3_SOT223,
16,"R15,R7",R_0402_1005Metric,2,10K,
17,"D2,D1",D_SMA,2,SS14,
18,"R2,R9,R10,R8,R11,R1",R_0402_1005Metric,6,5.1K,
19,"U3,U6",Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,2,W25Q16JVZPIQ TR,
20,"C25,C46,C51,C10,C49,C45,C1,C47,C20,C50",C_0402_1005Metric,10,1uF,
21,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,(C) USB_C_Receptacle_USB2.0_14P,
22,"R4,R12,R13,R3",R_0402_1005Metric,4,27,
23,U9,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTE,
24,"R20,R19",R_0402_1005Metric,2,470,
25,"C41,C52,C44,C42",C_0402_1005Metric,4,2.2uF,
26,R21,R_0402_1005Metric,1,DNF,
27,"C36,C38,C40,C43",C_0402_1005Metric,4,100nF,
28,J12,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
29,U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5101A,
30,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,(A) USB_C_Receptacle_USB2.0_14P,
31,"U5,U1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
32,"R16,R5,R6,R14",R_0402_1005Metric,4,1K,
33,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,(B) USB_C_Receptacle_USB2.0_14P,
34,U8,SOT-23-5,1,TLV70033_SOT23-5,
35,"C13,C14,C19,C18",C_0603_1608Metric,4,10uF,
36,"Y2,Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz,
37,J14,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
